Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"J'y suis jamais allé","Yann Tiersen","Amelie from Montmartre","Favorite Songs","Favorite","FRS949701290","4d4Fgs8KH0gyDSdc7HuwBF"
"No Diggity","Blackstreet","Hip Hop - Universal Masters","Favorite Songs","Favorite","USIR19600978","0BSUsLKmtxKWFckXM4CVTH"
"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis","The Heist","Favorite Songs","Favorite","GMM881200021","3bidbhpOYeV4knp8AIu8Xn"
"Some Say - Felix Jaehn Remix","Nea","Some Say (Felix Jaehn Remix)","Favorite Songs","Favorite","SEBGA1902742","7C1trmcQQ5n5RNy4l6ziCv"
"Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson)","Felix Jaehn","I","Favorite Songs","Favorite","DEUM71500425","3c8iiZGfEammKJuWTErE5x"
"Mood","Slapvibe","Mood","Favorite Songs","Favorite","QZHNB1955213","6yxA9d2dXs4LrYNhnmdGin"
"Piece Of Your Heart","MEDUZA","Piece Of Your Heart","Favorite Songs","Favorite","DEUM71807719","1DFD5Fotzgn6yYXkYsKiGs"
"La loi de Murphy","Angèle","Brol","Favorite Songs","Favorite","TCADH1799031","1UQKfmCH2wxVXTAVMUXiEj"
"Pesetas","Rilès","Pesetas","Favorite Songs","Favorite","TCADC1725047","0Ei1aBiIELwXmUcIZDETOi"
"Plus tard","47ter","Petits princes","Favorite Songs","Favorite","TCADN1880546","2Wkvlx8MIlVEWkZgq9vt9z"
"Ne m'invite pas","Poupie","Ne m'invite pas","Favorite Songs","Favorite","FRUM71900982","7M9O8p72Aau8WXbs4oH6uY"
"Alma Doce","Drey Karper","Alma Doce","Favorite Songs","Favorite","CH6541873624","1nekwCzcdkcrgoWNiAwJUl"
"L'amour, l'amour, l'amour","Bon Entendeur","Aller-retour","Favorite Songs","Favorite","FRZ051800753","6OGpURRDL26WAeouxgnfX9"
"S'en aller","Swing","S'en aller","Favorite Songs","Favorite","BEEN92091001","3ATo60fpicfxwZ0daRatlU"
"Flemme","Angèle","Brol","Favorite Songs","Favorite","BE8HB1800013","2TL8q8EO60b9lWeozfqYnG"
"J'ai vu","Roméo Elvis","Morale 2","Favorite Songs","Favorite","BEEO51700007","5Bjjf2Vj3dCaGetKlXS4be"
"Came For The Low","ZHU","Came For The Low","Favorite Songs","Favorite","USUG11903707","36LQYp5FNsuT5voIO9bdfZ"
"WTF (feat. Amber Van Day)","HUGEL","WTF (feat. Amber Van Day)","Favorite Songs","Favorite","DEA621801857","0gn93i7HJt0calph67R5Wu"
"Cooler Than Me","Lucky Luke","Cooler Than Me","Favorite Songs","Favorite","DEE861901892","525GY0mXYnxajolwgS8Eaz"
